timestamp,type,unit,value
22,gen,G2,80.0
22,gen,G3,60.0
22,gen,G4,50.0
22,gen,G5,32.294775810000004
22,gen,G6,0.0
22,batt_ch,B1,50.0
22,batt_dis,B1,0.0
22,soc,B1,190.0
22,clearing_price,market,40.0
23,gen,G1,40.0
23,gen,G2,67.65979195000003
23,gen,G3,60.0
23,gen,G4,0.0
23,gen,G5,0.0
23,gen,G6,0.0
23,batt_ch,B1,0.0
23,batt_dis,B1,40.0
23,soc,B1,150.0
23,clearing_price,market,30.0
24,gen,G1,40.0
24,gen,G2,80.0
24,gen,G3,60.0
24,gen,G4,50.0
24,gen,G5,16.606789859999992
24,gen,G6,0.0
24,batt_ch,B1,50.0
24,batt_dis,B1,0.0
24,soc,B1,200.0
24,clearing_price,market,40.0
